sctid,preferred_term,translation
3721000087104,Plain X-ray of left sacroiliac joint,왼쪽 엉치엉덩 관절 단순 방사선 촬영
3731000087102,Plain X-ray of right sacroiliac joint,오른쪽 엉치엉덩 관절 단순 방사선 촬영
417931001,Radionuclide study of sacroiliac joints,엉치엉덩 관절 방사성 핵종 검사
418618007,Computed tomography of sacroiliac joints,엉치엉덩 관절 컴퓨터 단층 촬영
429870001,Fluoroscopic arthrography of sacroiliac joint with contrast,조영제 사용 엉치엉덩 관절 투시 관절 조영
430433001,Injection of sacroiliac joint using computed tomography guidance,컴퓨터 단층 촬영 유도하 엉치엉덩 관절 주사
431458003,Injection of sacroiliac joint using fluoroscopic guidance,투시 유도하 엉치엉덩 관절 주사
702523007,Computed tomography of lumbar spine and sacroiliac joints,요추 및 엉치엉덩 관절 컴퓨터 단층 촬영
709547001,Computed tomography of sacroiliac joint with contrast,조영제 사용 엉치엉덩 관절 컴퓨터 단층 촬영
709653005,Magnetic resonance imaging of lumbar spine and sacroiliac joint with contrast,조영제 사용 허리 척추 및 엉치엉덩 관절 자기 공명 영상
709698004,Computed tomography of lumbar spine and sacroiliac joint with contrast,조영제 사용 요추 및 엉치엉덩 관절 컴퓨터 단층 촬영
713682006,Injection of sacroiliac joint using ultrasonographic guidance,초음파 유도하 엉치엉덩 관절 주사
448197009,Radiofrequency ablation of nerve of sacroiliac joint using fluoroscopic guidance,투시 유도하 엉치엉덩 관절 신경의 고주파 절제
783627007,Plain X-ray of sacroiliac joint,엉치엉덩 관절 단순 방사선 촬영
439101006,X-ray tomography,단층 촬영
441284005,Multidirectional X-ray tomography,다방향 단층 촬영
716830000,X-ray tomography of cervical spine,목뼈 단층 촬영
716846008,X-ray tomography of skull,머리뼈 단층 촬영
717906006,X-ray tomography of femur,넓적다리뼈 단층 촬영
717912001,X-ray tomography of spine,척추 단층 촬영
717957005,X-ray tomography of upper limb,팔 단층 촬영
718020004,X-ray tomography of sternum,복장뼈 단층 촬영
718324001,X-ray tomography of temporomandibular joint,턱관절 단층 촬영
718337003,X-ray tomography of internal auditory canal,내이도 단층 촬영
718540002,X-ray tomography of facial bone,얼굴뼈 단층 촬영
718541003,X-ray tomography of pelvis and hip,골반과 엉덩 관절 단층 촬영
718542005,X-ray tomography of lumbar spine,허리 척추 단층 촬영
718543000,X-ray tomography of pelvis,골반 단층 촬영
718545007,X-ray tomography of thoracic spine,흉추 단층 촬영
719484006,X-ray tomography of shoulder,어깨 단층 촬영
719485007,X-ray tomography of abdomen,복부 단층 촬영
724086003,X-ray tomography of right femur,오른쪽 넓적다리뼈 단층 촬영
724087007,X-ray tomography of left upper limb,왼쪽 팔 단층 촬영
724088002,X-ray tomography of pelvis and left hip,골반 및 왼쪽 엉덩 관절 단층 촬영
724089005,X-ray tomography of left rib,왼쪽 갈비뼈 단층 촬영
724168003,X-ray tomography of left femur,왼쪽 넓적다리뼈 단층 촬영
724169006,X-ray tomography of left shoulder,왼쪽 어깨 단층 촬영
724216002,X-ray tomography of right shoulder,오른쪽 어깨 단층 촬영
724217006,X-ray tomography of right lower limb,오른쪽 다리 단층 촬영
724218001,X-ray tomography of left lower limb,왼쪽 다리 단층 촬영
724219009,X-ray tomography of pelvis and right hip,골반 및 오른쪽 엉덩 관절 단층 촬영
724222006,X-ray tomography of right rib,오른쪽 갈비뼈 단층 촬영
725153005,X-ray tomography of right upper limb,오른쪽 팔 단층 촬영
